499.8	0.027	0.031
500.23	0.027	0.031
500.66	0.029	0.032
501.09	0.025	0.028
501.52	0.029	0.03
501.95	0.027	0.029
502.37	0.024	0.031
502.8	0.026	0.03
503.23	0.025	0.03
503.66	0.027	0.027
504.09	0.027	0.03
504.52	0.023	0.028
504.95	0.023	0.029
505.38	0.027	0.031
505.81	0.026	0.031
506.24	0.022	0.025
506.67	0.026	0.029
507.09	0.024	0.032
507.52	0.026	0.031
507.95	0.025	0.03
508.38	0.028	0.029
508.81	0.028	0.032
509.24	0.028	0.033
509.67	0.024	0.03
510.1	0.027	0.029
510.52	0.025	0.028
510.95	0.027	0.031
511.38	0.024	0.027
511.81	0.025	0.032
512.24	0.025	0.03
512.67	0.026	0.029
513.09	0.025	0.028
513.52	0.031	0.031
513.95	0.03	0.033
514.38	0.026	0.031
514.81	0.028	0.028
515.24	0.025	0.032
515.66	0.028	0.031
516.09	0.028	0.028
516.52	0.024	0.03
516.95	0.026	0.029
517.38	0.025	0.033
517.8	0.027	0.033
518.23	0.022	0.028
518.66	0.028	0.029
519.09	0.028	0.03
519.51	0.025	0.031
519.94	0.027	0.035
520.37	0.028	0.033
520.8	0.026	0.027
521.22	0.031	0.036
521.65	0.031	0.034
522.08	0.026	0.035
522.51	0.028	0.031
522.93	0.028	0.032
523.36	0.028	0.032
523.79	0.029	0.034
524.21	0.029	0.036
524.64	0.029	0.035
525.07	0.029	0.035
525.49	0.026	0.036
525.92	0.027	0.036
526.35	0.031	0.04
526.78	0.034	0.035
527.2	0.027	0.036
527.63	0.027	0.037
528.06	0.025	0.034
528.48	0.025	0.034
528.91	0.031	0.036
529.34	0.031	0.035
529.76	0.028	0.035
530.19	0.038	0.04
530.61	0.031	0.039
531.04	0.028	0.04
531.47	0.029	0.036
531.89	0.032	0.039
532.32	0.032	0.04
532.75	0.03	0.039
533.17	0.034	0.041
533.6	0.034	0.042
534.02	0.03	0.037
534.45	0.034	0.043
534.88	0.027	0.04
535.3	0.031	0.042
535.73	0.031	0.037
536.15	0.035	0.043
536.58	0.033	0.043
537.01	0.033	0.042
537.43	0.031	0.042
537.86	0.034	0.045
538.28	0.03	0.042
538.71	0.035	0.047
539.13	0.039	0.048
539.56	0.035	0.046
539.98	0.037	0.046
540.41	0.038	0.05
540.84	0.041	0.05
541.26	0.032	0.049
541.69	0.037	0.05
542.11	0.038	0.05
542.54	0.039	0.053
542.96	0.037	0.052
543.39	0.037	0.05
543.81	0.038	0.054
544.24	0.04	0.052
544.66	0.041	0.053
545.09	0.04	0.053
545.51	0.042	0.054
545.94	0.043	0.057
546.36	0.042	0.056
546.78	0.04	0.059
547.21	0.042	0.055
547.63	0.046	0.062
548.06	0.043	0.057
548.48	0.04	0.057
548.91	0.046	0.06
549.33	0.042	0.062
549.76	0.043	0.061
550.18	0.046	0.067
550.6	0.045	0.069
551.03	0.044	0.067
551.45	0.045	0.064
551.88	0.048	0.069
552.3	0.046	0.07
552.73	0.051	0.07
553.15	0.051	0.07
553.57	0.053	0.075
554	0.05	0.071
554.42	0.05	0.072
